Id,Username,Email,PasswordHash,CreatedAt,LastLogin,IsAdmin,IsDeleted
e51bec39-a29d-4ad0-8c65-0a0aa17ec159,henry34,crystal73@gmail.com,95c2705fca5f416cd4881e87955264183d1d700be046bc150b7a0cdcdc6fe403,2020-08-03T14:37:27,2025-01-09T11:59:38,False,False
bf4d6349-9ee1-4c44-87a4-a05fed2f0d06,andrew21,melaniemiller@hotmail.com,9bab9993f6c4a6b13635ddeabc8b1db4e531337f258148baa7ec550d2b22f07e,2022-04-15T09:23:07,2025-02-21T05:38:00,False,False
851cd325-0984-4700-a145-68f99eed5a0f,james78,santiagojesse@allen.net,e44534367aa8a9870005f9f8c470e0d9485601b5cc1d362a88ae1145e576865f,2022-10-01T11:49:30,2025-03-01T18:01:23,False,False
8474b9dc-7d5e-4cd2-a552-10e074a1e4e6,joshua67,jonathanbutler@yahoo.com,863f30e454f6704f5ecdb9a03993f858fb6bdc83acd08cf85e5eebaea3266607,2021-01-23T16:08:10,2025-03-04T21:44:49,False,False
824ba04b-82d8-4e11-88d8-7428f3d149a9,parkerkathy,jared35@hotmail.com,9dbc0536597d946bb081541edee5ce8e2215fb73a829ed080ecbcbf33626b68a,2021-11-17T21:56:39,2025-03-15T12:32:24,False,False
4ca03348-dca5-4b89-8b9e-7f41308947bd,kimberlytaylor,victoriabenson@gonzalez.com,ffe3331fd3028db9c01d5c6701b6e1f9dbff2bd25dcfaedd441835dca59d8109,2022-01-26T09:30:38,2025-03-27T17:40:13,False,False
1c23ed5f-d05c-4c5e-907e-2de493db3c72,taylor19,scottwatkins@rodriguez.org,529a03be662da75f4083673b169eb8b1af76edb8e3e0cd174fe49c6b00daa427,2025-01-07T00:29:22,2025-01-16T08:30:39,False,False
60586750-381f-47a8-963a-990f5d5701af,jhernandez,lbrooks@collins.org,1adba4c8f2c8ff0772909a5a206e533ad8b0563fb450f4fcc35bdd4e6389f400,2020-01-15T04:42:13,2025-04-10T11:18:52,False,False
54ec11e1-ee17-49ad-8b66-96cba53a2794,karen00,fitzpatrickjohn@hotmail.com,5207465ca3dacb6eb27be82ad2bd95da3f6608395713aa81520279cdcc920d2e,2022-07-16T18:38:30,2025-02-07T18:45:02,False,False
50649caa-b029-44a9-8081-a120fe064af2,betty33,alanroberts@oconnor-dennis.net,98d6cf6a4c96bc59420b79c33c7ae28e37e4beecc145793d679ec4be919af8af,2024-12-02T17:34:08,2025-04-09T18:13:12,False,False
